0,35.5,34.8,48.8,0
1,34.6,34.7,49.2,0
2,35,34.3,49.2,0
3,35.3,34.3,49.8,0
4,36.1,33.4,50,0
5,36.1,35.1,49.7,0
6,36,35.6,49.7,0
7,35.8,34.8,49.3,0
8,35.4,33.8,49.5,0
9,35.1,34.7,48.8,0
10,34.6,34.9,49.2,0
11,34.9,33.8,48.8,0
12,34.5,33.4,49.2,0
13,35.1,34,49.1,0
14,34.7,34.4,49.4,0
15,35.4,33.4,49.2,0
16,34.8,33.2,49.5,0
17,35.8,33.7,49.8,0
18,35.7,33.8,49.6,0
19,35.9,34.8,49.8,0
20,35.9,34.5,49.4,0
21,35.6,34.3,49.8,0
22,35.8,35.6,49.3,0
23,35.3,34.8,49.6,0
24,35.4,35,49.1,0
25,34.8,34.6,49.5,0
26,35.8,33.7,49.5,0
27,35.4,34.3,49.8,0
28,36,34.1,49.4,0
29,35.1,35.4,49.4,0
30,35.5,35,49.6,0
31,35.7,34.9,49.7,0
32,36.1,34.4,49.9,0
33,36.2,35.2,49.6,0
34,35.7,35.6,49.7,0
35,35.7,35.1,49.3,0
36,35.3,35.1,49.9,0
37,36,34.5,49.8,0
38,36,35,50,0
39,36.2,35.4,49.2,0
40,35.1,35.4,49.5,0
41,35.6,35.4,49.5,0
42,35.6,35.1,49.9,0
43,36.2,34.6,50.1,0
44,36.5,35,50,0
45,36.5,35.9,50,0
46,36.3,35.9,49.6,0
47,36,35.2,50.2,0
48,36.7,35.3,50.1,0
49,36.6,35.5,50.3,0
50,36.6,36,49.3,0
51,35.3,36.1,49.4,0
52,35.6,35.8,48.9,0
53,34.8,34.8,49.5,0
54,35.7,34.5,49.5,0
55,35.6,34.4,49.8,0
56,36.3,35,49.8,0
57,36,35.6,49.5,0
58,35.8,35.5,49.6,0
59,35.9,35.4,49.4,0
60,35.6,35.5,49.6,0
61,35.8,34.8,49.2,0
62,35.2,34.2,49.5,0
63,35.7,34.9,49.2,0
64,35.2,34.7,49.3,0
65,35.4,34.4,48.8,0
66,34.7,34.5,49.5,0
67,35.6,34.2,49.4,0
68,35.4,34.3,49.8,0
69,36.2,34.5,50.1,0
